source	target	lib	tfidfMax	tfidfDistances
0195MuarrijSadusi.HadhfMinNasabQuraysh.Shamela0000496-ara1	0195MuarrijSadusi.HadhfMinNasabQuraysh.JK010496-ara1	RELEASE	0.99961	[0.99961]
0195MuarrijSadusi.HadhfMinNasabQuraysh.Shamela0000496-ara1	496.json	RAWrabicaShamAY1	0.99897	[0.99897]
0195MuarrijSadusi.HadhfMinNasabQuraysh.Shamela0000496-ara1	0496.bok.json	RAWrabicaSham19Y	0.99855	[0.99855]
0195MuarrijSadusi.HadhfMinNasabQuraysh.Shamela0000496-ara1	0245MuhammadIbnHabib.Muhabbar.Shia003457-ara1	RELEASE	0.91722	[0.91722]
0195MuarrijSadusi.HadhfMinNasabQuraysh.Shamela0000496-ara1	0245MuhammadIbnHabib.Muhabbar.Shamela0012205-ara1	RELEASE	0.91644	[0.91644, 0.91578]
0195MuarrijSadusi.HadhfMinNasabQuraysh.Shamela0000496-ara1	001959.automARkdown	RAW_Masaha	0.91341	[0.91341]
0195MuarrijSadusi.HadhfMinNasabQuraysh.Shamela0000496-ara1	0456IbnHazm.JawamicSira.Shamela0001036-ara1	RELEASE	0.9134	[0.9134]
0195MuarrijSadusi.HadhfMinNasabQuraysh.Shamela0000496-ara1	7480.json	RAW_ABLibrary	0.91225	[0.91225]
0195MuarrijSadusi.HadhfMinNasabQuraysh.Shamela0000496-ara1	0456IbnHazm.JawamicSira.Shamela0009728-ara1	RELEASE	0.91185	[0.91185, 0.91052]
0195MuarrijSadusi.HadhfMinNasabQuraysh.Shamela0000496-ara1	9728.json	RAWrabicaShamAY1	0.9116	[0.9116]
0195MuarrijSadusi.HadhfMinNasabQuraysh.Shamela0000496-ara1	0204IbnKalbi.JamharatAnsab.Shamela0000504-ara1	RELEASE	0.91008	[0.91008, 0.90896]
0195MuarrijSadusi.HadhfMinNasabQuraysh.Shamela0000496-ara1	0204IbnKalbi.JamharatAnsab.JK010504-ara1	RELEASE	0.91004	[0.91004]
0195MuarrijSadusi.HadhfMinNasabQuraysh.Shamela0000496-ara1	0236AbuCabdAllahZubayri.NasabQuraysh.JK009223-ara1	RELEASE	0.90994	[0.90994, 0.90866]
0195MuarrijSadusi.HadhfMinNasabQuraysh.Shamela0000496-ara1	0236AbuCabdAllahZubayri.NasabQuraysh.Shamela0002922-ara1	RELEASE	0.90957	[0.90957]
0195MuarrijSadusi.HadhfMinNasabQuraysh.Shamela0000496-ara1	0504.bok.json	RAWrabicaSham19Y	0.90936	[0.90936]
0195MuarrijSadusi.HadhfMinNasabQuraysh.Shamela0000496-ara1	2922.json	RAWrabicaShamAY1	0.90876	[0.90876]
0195MuarrijSadusi.HadhfMinNasabQuraysh.Shamela0000496-ara1	504.json	RAWrabicaShamAY1	0.90873	[0.90873]
0195MuarrijSadusi.HadhfMinNasabQuraysh.Shamela0000496-ara1	0245MuhammadIbnHabib.Muhabbar.JK011200-ara1	RELEASE	0.90787	[0.90787]
0195MuarrijSadusi.HadhfMinNasabQuraysh.Shamela0000496-ara1	12205.bok.json	RAWrabicaSham19Y	0.90779	[0.90779]
0195MuarrijSadusi.HadhfMinNasabQuraysh.Shamela0000496-ara1	12205.json	RAWrabicaShamAY2	0.90622	[0.90622]
0195MuarrijSadusi.HadhfMinNasabQuraysh.Shamela0000496-ara1	9793.bok.json	RAWrabicaSham19Y	0.90413	[0.90413]
0195MuarrijSadusi.HadhfMinNasabQuraysh.Shamela0000496-ara1	9793.json	RAWrabicaShamAY1	0.90381	[0.90381]
0195MuarrijSadusi.HadhfMinNasabQuraysh.Shamela0000496-ara1	001960.automARkdown	RAW_Masaha	0.90352	[0.90352]
0195MuarrijSadusi.HadhfMinNasabQuraysh.Shamela0000496-ara1	002330.automARkdown	RAW_Masaha	0.90345	[0.90345]
0195MuarrijSadusi.HadhfMinNasabQuraysh.Shamela0000496-ara1	0456IbnHazm.JamharatAnsab.Shamela0009793-ara1	RELEASE	0.90246	[0.90246, 0.90129]
0195MuarrijSadusi.HadhfMinNasabQuraysh.Shamela0000496-ara1	0456IbnHazm.JamharatAnsab.JK009221-ara1	RELEASE	0.90202	[0.90202]
0195MuarrijSadusi.HadhfMinNasabQuraysh.Shamela0000496-ara1	0230IbnSacd.TabaqatKubra.Shamela0007666-ara5	RELEASE	0.8955	[0.8955]
0195MuarrijSadusi.HadhfMinNasabQuraysh.Shamela0000496-ara1	0230IbnSacd.TabaqatKubra.JK000744-ara5	RELEASE	0.89511	[0.89511]
