source	target	lib	tfidfMax	tfidfDistances
0122ZaydIbnCali.TafsirGharibQuran.Zaydiyya0000297-ara1	0120ZaydIbnCali.GharibQuran.Tafsir05089-ara1	RELEASE	0.99958	[0.99958, 0.99957]
0122ZaydIbnCali.TafsirGharibQuran.Zaydiyya0000297-ara1	3781.html	RAWrabicaRafed	0.6108	[0.6108]
0122ZaydIbnCali.TafsirGharibQuran.Zaydiyya0000297-ara1	0604AbuDharrKhushani.ImlaMukhtasar.Shamela0009222-ara1	RELEASE	0.59453	[0.59453]
0122ZaydIbnCali.TafsirGharibQuran.Zaydiyya0000297-ara1	9222.json	RAWrabicaShamAY1	0.58892	[0.58892]
0122ZaydIbnCali.TafsirGharibQuran.Zaydiyya0000297-ara1	3867.html	RAWrabicaRafed	0.47215	[0.47215]
0122ZaydIbnCali.TafsirGharibQuran.Zaydiyya0000297-ara1	0502RaghibIsbahani.Mufradat.Shia002552-ara1	RELEASE	0.45914	[0.45914]
0122ZaydIbnCali.TafsirGharibQuran.Zaydiyya0000297-ara1	0502RaghibIsbahani.Mufradat.JK001150-ara1	RELEASE	0.45895	[0.45895]
0122ZaydIbnCali.TafsirGharibQuran.Zaydiyya0000297-ara1	0502RaghibIsbahani.Mufradat.ShamAY0034092-ara1	RELEASE	0.45812	[0.45812]
0122ZaydIbnCali.TafsirGharibQuran.Zaydiyya0000297-ara1	34092.json	RAWrabicaShamAY2	0.45708	[0.45708]
0122ZaydIbnCali.TafsirGharibQuran.Zaydiyya0000297-ara1	Shia002552	RAWrabica040000	0.43629	[0.43629]
0122ZaydIbnCali.TafsirGharibQuran.Zaydiyya0000297-ara1	3302.html	RAWrabicaRafed	0.43525	[0.43525]
0122ZaydIbnCali.TafsirGharibQuran.Zaydiyya0000297-ara1	Sham30K0014454	RAWrabica015000	0.4329	[0.4329]
0122ZaydIbnCali.TafsirGharibQuran.Zaydiyya0000297-ara1	8320.json	RAWrabicaShamAY1	0.4299	[0.4299]
0122ZaydIbnCali.TafsirGharibQuran.Zaydiyya0000297-ara1	0429AbuMansurThacalibi.Jawahir.ShamAY0034066-ara1	RELEASE	0.42873	[0.42873, 0.42823]
0122ZaydIbnCali.TafsirGharibQuran.Zaydiyya0000297-ara1	0502RaghibIsbahani.Mufradat.Shamela0023636-ara1	RELEASE	0.42868	[0.42868, 0.42774]
0122ZaydIbnCali.TafsirGharibQuran.Zaydiyya0000297-ara1	0489IbnMuhammadSamcani.TafsirQuran.Shamela0008320-ara1	RELEASE	0.42834	[0.42834]
0122ZaydIbnCali.TafsirGharibQuran.Zaydiyya0000297-ara1	0489IbnMuhammadSamcani.TafsirQuran.JK006476-ara1	RELEASE	0.42834	[0.42834, 0.42732]
0122ZaydIbnCali.TafsirGharibQuran.Zaydiyya0000297-ara1	0489IbnMuhammadSamcani.TafsirQuran.Shia002544Vols-ara1	RELEASE	0.42825	[0.42825]
0122ZaydIbnCali.TafsirGharibQuran.Zaydiyya0000297-ara1	0360Tabarani.TafsirKabir.Tafsir02091-ara1	RELEASE	0.42759	[0.42759, 0.42585]
0122ZaydIbnCali.TafsirGharibQuran.Zaydiyya0000297-ara1	34066.json	RAWrabicaShamAY2	0.42757	[0.42757]
0122ZaydIbnCali.TafsirGharibQuran.Zaydiyya0000297-ara1	0360Tabarani.Tafsir.ShamAY0033108-ara1	RELEASE	0.42752	[0.42752, 0.42586]
0122ZaydIbnCali.TafsirGharibQuran.Zaydiyya0000297-ara1	33108.json	RAWrabicaShamAY2	0.42631	[0.42631]
0122ZaydIbnCali.TafsirGharibQuran.Zaydiyya0000297-ara1	Sham30K0008320	RAWrabica010000	0.42619	[0.42619]
0122ZaydIbnCali.TafsirGharibQuran.Zaydiyya0000297-ara1	003644.automARkdown	RAW_Masaha	0.42516	[0.42516]
0122ZaydIbnCali.TafsirGharibQuran.Zaydiyya0000297-ara1	38133.bok.json	RAWrabicaSham19Y	0.41439	[0.41439]
0122ZaydIbnCali.TafsirGharibQuran.Zaydiyya0000297-ara1	1194.json	RAWrabicaShamAY1	0.41333	[0.41333]
0122ZaydIbnCali.TafsirGharibQuran.Zaydiyya0000297-ara1	Shamela038133.txt	raw_ShamelaY19	0.41101	[0.41101]
0122ZaydIbnCali.TafsirGharibQuran.Zaydiyya0000297-ara1	1628.html	RAWrabicaRafed	0.41028	[0.41028]
0122ZaydIbnCali.TafsirGharibQuran.Zaydiyya0000297-ara1	Shamela023636.txt	raw_ShamelaY19	0.40851	[0.40851]
0122ZaydIbnCali.TafsirGharibQuran.Zaydiyya0000297-ara1	8378.json	RAWrabicaShamAY1	0.40712	[0.40712]
0122ZaydIbnCali.TafsirGharibQuran.Zaydiyya0000297-ara1	8514.automARkdown	RAW_Ghbook	0.40646	[0.40646]
0122ZaydIbnCali.TafsirGharibQuran.Zaydiyya0000297-ara1	0844ShamsDinMisri.MiftahSacidiyya.Shamela0096878-ara1	RELEASE	0.40455	[0.40455]
0122ZaydIbnCali.TafsirGharibQuran.Zaydiyya0000297-ara1	0666IbnAbiBakrZaynDinRazi.AnmudhajJalil.Shamela0008378-ara1	RELEASE	0.40386	[0.40386]
0122ZaydIbnCali.TafsirGharibQuran.Zaydiyya0000297-ara1	18007.json	RAWrabicaShamAY2	0.40253	[0.40253]
0122ZaydIbnCali.TafsirGharibQuran.Zaydiyya0000297-ara1	1629.html	RAWrabicaRafed	0.40158	[0.40158]
0122ZaydIbnCali.TafsirGharibQuran.Zaydiyya0000297-ara1	17829.bok.json	RAWrabicaSham19Y	0.40128	[0.40128]
0122ZaydIbnCali.TafsirGharibQuran.Zaydiyya0000297-ara1	0756IbnYusufSaminHalabi.CumdatHuffaz.Sham19Y0017829-ara1	RELEASE	0.40101	[0.40101]
0122ZaydIbnCali.TafsirGharibQuran.Zaydiyya0000297-ara1	Shamela096878.txt	raw_ShamelaY19	0.40088	[0.40088]
0122ZaydIbnCali.TafsirGharibQuran.Zaydiyya0000297-ara1	3099.html	RAWrabicaRafed	0.39992	[0.39992]
0122ZaydIbnCali.TafsirGharibQuran.Zaydiyya0000297-ara1	32547.json	RAWrabicaShamAY2	0.39958	[0.39958]
0122ZaydIbnCali.TafsirGharibQuran.Zaydiyya0000297-ara1	Sham30K0039068	RAWrabica025000	0.39753	[0.39753]
0122ZaydIbnCali.TafsirGharibQuran.Zaydiyya0000297-ara1	36981.json	RAWrabicaShamAY3	0.3973	[0.3973]
0122ZaydIbnCali.TafsirGharibQuran.Zaydiyya0000297-ara1	004564.automARkdown	RAW_Masaha	0.39727	[0.39727]
0122ZaydIbnCali.TafsirGharibQuran.Zaydiyya0000297-ara1	3466.html	RAWrabicaRafed	0.39725	[0.39725]
0122ZaydIbnCali.TafsirGharibQuran.Zaydiyya0000297-ara1	3657.html	RAWrabicaRafed	0.39621	[0.39621]
0122ZaydIbnCali.TafsirGharibQuran.Zaydiyya0000297-ara1	Sham30K0008378	RAWrabica010000	0.3951	[0.3951]
0122ZaydIbnCali.TafsirGharibQuran.Zaydiyya0000297-ara1	7920.json	RAW_ABLibrary	0.39457	[0.39457]
0122ZaydIbnCali.TafsirGharibQuran.Zaydiyya0000297-ara1	0367AbuLaythSamarqandi.BahrCulum.ShamAY0034069-ara1	RELEASE	0.39277	[0.39277]
0122ZaydIbnCali.TafsirGharibQuran.Zaydiyya0000297-ara1	34069.json	RAWrabicaShamAY2	0.39264	[0.39264]
