source	target	lib	tfidfMax	tfidfDistances
0001HatimTai.Diwan.JK007514-ara1	37913.json	RAWrabicaShamAY3	0.99916	[0.99916]
0001HatimTai.Diwan.JK007514-ara1	0001HatimTai.Diwan.ShamAY0037913-ara1	RELEASE	0.99526	[0.99526]
0001HatimTai.Diwan.JK007514-ara1	0449AbuCalaMacarri.Diwan.JK007580-ara1	RELEASE	0.51443	[0.51443]
0001HatimTai.Diwan.JK007514-ara1	0357AbuFirasHamdani.Diwan.JK007584-ara1	RELEASE	0.51153	[0.51153, 0.50598]
0001HatimTai.Diwan.JK007514-ara1	0357AbuFirasHamdani.Diwan.ShamAY0037823-ara1	RELEASE	0.50394	[0.50394]
0001HatimTai.Diwan.JK007514-ara1	0054HassanIbnThabit.Diwan.JK007534-ara1	RELEASE	0.50229	[0.50229]
0001HatimTai.Diwan.JK007514-ara1	37823.json	RAWrabicaShamAY3	0.50079	[0.50079]
0001HatimTai.Diwan.JK007514-ara1	0584IbnMunqidhShayzari.Diwan.JK007587-ara1	RELEASE	0.50069	[0.50069, 0.4958]
0001HatimTai.Diwan.JK007514-ara1	0090AkhtalShacir.Diwan.JK007544-ara1	RELEASE	0.50037	[0.50037, 0.49017]
0001HatimTai.Diwan.JK007514-ara1	0105AhwasAnsari.Diwan.JK007543-ara1	RELEASE	0.49952	[0.49952, 0.49217]
0001HatimTai.Diwan.JK007514-ara1	0584IbnMunqidhShayzari.Diwan.ShamAY0037915-ara1	RELEASE	0.49577	[0.49577]
0001HatimTai.Diwan.JK007514-ara1	0198AbuNuwasShacir.Diwan.JK007604-ara1	RELEASE	0.4935	[0.4935, 0.48831]
0001HatimTai.Diwan.JK007514-ara1	0105AhwasAnsari.Diwan.ShamAY0037939-ara1	RELEASE	0.49239	[0.49239]
0001HatimTai.Diwan.JK007514-ara1	37915.json	RAWrabicaShamAY3	0.49081	[0.49081]
0001HatimTai.Diwan.JK007514-ara1	0093IbnAbiRabica.Diwan.JK007556-ara1	RELEASE	0.49076	[0.49076, 0.48535]
0001HatimTai.Diwan.JK007514-ara1	1332MahmudSamiBarudi.Diwan.ShamAY0037857-ara1	RELEASE	0.49032	[0.49032]
0001HatimTai.Diwan.JK007514-ara1	0090AkhtalShacir.Diwan.ShamAY0037927-ara1	RELEASE	0.48954	[0.48954]
0001HatimTai.Diwan.JK007514-ara1	0296IbnMuctazz.Diwan.JK007592-ara1	RELEASE	0.48946	[0.48946, 0.48452]
0001HatimTai.Diwan.JK007514-ara1	0167BashsharIbnBurdShacir.Diwan.JK007613-ara1	RELEASE	0.48762	[0.48762, 0.48205]
0001HatimTai.Diwan.JK007514-ara1	0198AbuNuwasShacir.Diwan.ShamAY0037852-ara1	RELEASE	0.48746	[0.48746]
0001HatimTai.Diwan.JK007514-ara1	37939.json	RAWrabicaShamAY3	0.48732	[0.48732]
0001HatimTai.Diwan.JK007514-ara1	0093IbnAbiRabica.Diwan.ShamAY0037902-ara1	RELEASE	0.48599	[0.48599]
0001HatimTai.Diwan.JK007514-ara1	0296IbnMuctazz.Diwan.ShamAY0037841-ara1	RELEASE	0.4853	[0.4853]
0001HatimTai.Diwan.JK007514-ara1	37927.json	RAWrabicaShamAY3	0.4841	[0.4841]
0001HatimTai.Diwan.JK007514-ara1	37852.json	RAWrabicaShamAY3	0.48338	[0.48338]
0001HatimTai.Diwan.JK007514-ara1	0167BashsharIbnBurdShacir.Diwan.ShamAY0037930-ara1	RELEASE	0.48224	[0.48224]
0001HatimTai.Diwan.JK007514-ara1	0517IbnKhayyatShacir.Diwan.ShamAY0037837-ara1	RELEASE	0.48107	[0.48107]
0001HatimTai.Diwan.JK007514-ara1	0517IbnKhayyatShacir.Diwan.JK007588-ara1	RELEASE	0.48084	[0.48084]
0001HatimTai.Diwan.JK007514-ara1	37841.json	RAWrabicaShamAY3	0.48033	[0.48033]
0001HatimTai.Diwan.JK007514-ara1	37902.json	RAWrabicaShamAY3	0.47956	[0.47956]
0001HatimTai.Diwan.JK007514-ara1	37857.json	RAWrabicaShamAY3	0.47953	[0.47953]
0001HatimTai.Diwan.JK007514-ara1	0192IbnAhnaf.Diwan.JK007582-ara1	RELEASE	0.47946	[0.47946, 0.47374]
0001HatimTai.Diwan.JK007514-ara1	0045JarwalIbnAwsHutaya.Diwan.JK007531-ara1	RELEASE	0.47813	[0.47813, 0.46954]
0001HatimTai.Diwan.JK007514-ara1	0630IbnCunayn.Diwan.JK007597-ara1	RELEASE	0.47692	[0.47692]
0001HatimTai.Diwan.JK007514-ara1	37930.json	RAWrabicaShamAY3	0.47689	[0.47689]
0001HatimTai.Diwan.JK007514-ara1	0406SharifRadi.Diwan.JK007608-ara1	RELEASE	0.47598	[0.47598, 0.47031]
0001HatimTai.Diwan.JK007514-ara1	37837.json	RAWrabicaShamAY3	0.47475	[0.47475]
0001HatimTai.Diwan.JK007514-ara1	0211AbuCatahiya.Diwan.ShamAY0037815-ara1	RELEASE	0.4742	[0.4742, 0.46887]
0001HatimTai.Diwan.JK007514-ara1	0192IbnAhnaf.Diwan.ShamAY0037818-ara1	RELEASE	0.47389	[0.47389]
0001HatimTai.Diwan.JK007514-ara1	0040CaliIbnAbiTalib.Diwan.JK007540-ara1	RELEASE	0.47157	[0.47157, 0.46631]
0001HatimTai.Diwan.JK007514-ara1	0656BahaDinZuhayr.Diwan.ShamAY0037942-ara1	RELEASE	0.47088	[0.47088]
0001HatimTai.Diwan.JK007514-ara1	0246DicbilKhuzaci.Diwan.JK007615-ara1	RELEASE	0.47013	[0.47013, 0.46294]
0001HatimTai.Diwan.JK007514-ara1	0406SharifRadi.Diwan.ShamAY0037890-ara1	RELEASE	0.46998	[0.46998]
0001HatimTai.Diwan.JK007514-ara1	0211AbuCatahiya.Diwan.JK007579-ara1	RELEASE	0.46996	[0.46996]
0001HatimTai.Diwan.JK007514-ara1	37818.json	RAWrabicaShamAY3	0.46825	[0.46825]
0001HatimTai.Diwan.JK007514-ara1	0045JarwalIbnAwsHutaya.Diwan.ShamAY0037850-ara1	RELEASE	0.46743	[0.46743]
0001HatimTai.Diwan.JK007514-ara1	0638IbnCarabi.Diwan.JK007629-ara1	RELEASE	0.46712	[0.46712]
0001HatimTai.Diwan.JK007514-ara1	0466IbnSinanKhafaji.Diwan.JK007620-ara1	RELEASE	0.46657	[0.46657, 0.46155]
0001HatimTai.Diwan.JK007514-ara1	0040CaliIbnAbiTalib.Diwan.ShamAY0037911-ara1	RELEASE	0.46532	[0.46532]
0001HatimTai.Diwan.JK007514-ara1	37875.json	RAWrabicaShamAY3	0.46507	[0.46507]
0001HatimTai.Diwan.JK007514-ara1	37815.json	RAWrabicaShamAY3	0.46498	[0.46498]
0001HatimTai.Diwan.JK007514-ara1	0007MaymunIbnQaysAcsha.Diwan.JK007503-ara1	RELEASE	0.46496	[0.46496, 0.46185]
0001HatimTai.Diwan.JK007514-ara1	0105KuthayyirCazza.Diwan.JK007558-ara1	RELEASE	0.46479	[0.46479, 0.45688]
0001HatimTai.Diwan.JK007514-ara1	37890.json	RAWrabicaShamAY3	0.46447	[0.46447]
0001HatimTai.Diwan.JK007514-ara1	37850.json	RAWrabicaShamAY3	0.4636	[0.4636]
0001HatimTai.Diwan.JK007514-ara1	0246DicbilKhuzaci.Diwan.ShamAY0037947-ara1	RELEASE	0.46325	[0.46325]
0001HatimTai.Diwan.JK007514-ara1	0231AbuTamam.Diwan.JK007583-ara1	RELEASE	0.46226	[0.46226, 0.4573]
0001HatimTai.Diwan.JK007514-ara1	37942.json	RAWrabicaShamAY3	0.46168	[0.46168]
0001HatimTai.Diwan.JK007514-ara1	0466IbnSinanKhafaji.Diwan.ShamAY0037956-ara1	RELEASE	0.46163	[0.46163]
0001HatimTai.Diwan.JK007514-ara1	37911.json	RAWrabicaShamAY3	0.46107	[0.46107]
0001HatimTai.Diwan.JK007514-ara1	0436SharifMurtada.Diwan.ShamAY0037891-ara1	RELEASE	0.46086	[0.46086, 0.45797]
0001HatimTai.Diwan.JK007514-ara1	0702IbnCabdRahmanCubaydi.TadhkiraSacdiyya.JK010743-ara1	RELEASE	0.46059	[0.46059]
0001HatimTai.Diwan.JK007514-ara1	0583SibtIbnTacawidhiShacir.Diwan.JK007618-ara1	RELEASE	0.45901	[0.45901, 0.45386]
0001HatimTai.Diwan.JK007514-ara1	37947.json	RAWrabicaShamAY3	0.45863	[0.45863]
0001HatimTai.Diwan.JK007514-ara1	0328IbnCabdRabbihi.Diwan.JK007571-ara1	RELEASE	0.45823	[0.45823, 0.45192]
0001HatimTai.Diwan.JK007514-ara1	0231AbuTamam.Diwan.ShamAY0037821-ara1	RELEASE	0.45682	[0.45682]
0001HatimTai.Diwan.JK007514-ara1	0105KuthayyirCazza.Diwan.ShamAY0037909-ara1	RELEASE	0.45663	[0.45663]
0001HatimTai.Diwan.JK007514-ara1	37956.json	RAWrabicaShamAY3	0.45592	[0.45592]
0001HatimTai.Diwan.JK007514-ara1	0110JarirShacir.Diwan.ShamAY0037926-ara1	RELEASE	0.45583	[0.45583]
0001HatimTai.Diwan.JK007514-ara1	1119IbnMacsum.Diwan.ShamAY0037878-ara1	RELEASE	0.45538	[0.45538]
0001HatimTai.Diwan.JK007514-ara1	0750SafiDinHilli.Diwan.ShamAY0037951-ara1	RELEASE	0.45534	[0.45534]
0001HatimTai.Diwan.JK007514-ara1	0110JarirShacir.Diwan.JK007549-ara1	RELEASE	0.45499	[0.45499]
0001HatimTai.Diwan.JK007514-ara1	743.json	RAWrabicaShamAY1	0.45442	[0.45442]
0001HatimTai.Diwan.JK007514-ara1	0583SibtIbnTacawidhiShacir.Diwan.ShamAY0037949-ara1	RELEASE	0.45413	[0.45413]
0001HatimTai.Diwan.JK007514-ara1	1346LuisShikhuYasuci.ShucaraNasraniyya.Shamela0021525-ara1	RELEASE	0.45394	[0.45394]
0001HatimTai.Diwan.JK007514-ara1	0360KushajimShacir.Diwan.JK007626-ara1	RELEASE	0.45348	[0.45348, 0.44716]
