source	target	lib	tfidfMax	tfidfDistances
0001MuthaqqibCabdi.Diwan.ShamAY0037895-ara1	0001MuthaqqibCabdi.Diwan.JK007510-ara1	RELEASE	0.97217	[0.97217]
0001MuthaqqibCabdi.Diwan.ShamAY0037895-ara1	37895.json	RAWrabicaShamAY3	0.95539	[0.95539]
0001MuthaqqibCabdi.Diwan.ShamAY0037895-ara1	0168MufaddalDabbi.Mufaddaliyyat.Shamela0006904-ara1	RELEASE	0.34158	[0.34158]
0001MuthaqqibCabdi.Diwan.ShamAY0037895-ara1	0168MufaddalDabbi.Mufaddaliyyat.JK006911-ara1	RELEASE	0.34154	[0.34154]
0001MuthaqqibCabdi.Diwan.ShamAY0037895-ara1	0449AbuCalaMacarri.Diwan.JK007580-ara1	RELEASE	0.33658	[0.33658]
0001MuthaqqibCabdi.Diwan.ShamAY0037895-ara1	6904.bok.json	RAWrabicaSham19Y	0.3349	[0.3349]
0001MuthaqqibCabdi.Diwan.ShamAY0037895-ara1	6904.json	RAWrabicaShamAY1	0.33309	[0.33309]
0001MuthaqqibCabdi.Diwan.ShamAY0037895-ara1	0198AbuNuwasShacir.Diwan.ShamAY0037852-ara1	RELEASE	0.3329	[0.3329]
0001MuthaqqibCabdi.Diwan.ShamAY0037895-ara1	0198AbuNuwasShacir.Diwan.JK007604-ara1	RELEASE	0.33251	[0.33251]
0001MuthaqqibCabdi.Diwan.ShamAY0037895-ara1	37852.json	RAWrabicaShamAY3	0.32805	[0.32805]
0001MuthaqqibCabdi.Diwan.ShamAY0037895-ara1	0231AbuTamam.Diwan.ShamAY0037821-ara1	RELEASE	0.3219	[0.3219]
0001MuthaqqibCabdi.Diwan.ShamAY0037895-ara1	0296IbnMuctazz.Diwan.ShamAY0037841-ara1	RELEASE	0.32174	[0.32174]
0001MuthaqqibCabdi.Diwan.ShamAY0037895-ara1	0296IbnMuctazz.Diwan.JK007592-ara1	RELEASE	0.32121	[0.32121]
0001MuthaqqibCabdi.Diwan.ShamAY0037895-ara1	0231AbuTamam.Diwan.JK007583-ara1	RELEASE	0.32095	[0.32095]
0001MuthaqqibCabdi.Diwan.ShamAY0037895-ara1	0167BashsharIbnBurdShacir.Diwan.ShamAY0037930-ara1	RELEASE	0.32057	[0.32057]
0001MuthaqqibCabdi.Diwan.ShamAY0037895-ara1	0167BashsharIbnBurdShacir.Diwan.JK007613-ara1	RELEASE	0.31967	[0.31967]
0001MuthaqqibCabdi.Diwan.ShamAY0037895-ara1	37841.json	RAWrabicaShamAY3	0.31755	[0.31755]
0001MuthaqqibCabdi.Diwan.ShamAY0037895-ara1	0357AbuFirasHamdani.Diwan.JK007584-ara1	RELEASE	0.31598	[0.31598]
0001MuthaqqibCabdi.Diwan.ShamAY0037895-ara1	37821.json	RAWrabicaShamAY3	0.31592	[0.31592]
0001MuthaqqibCabdi.Diwan.ShamAY0037895-ara1	0090AkhtalShacir.Diwan.ShamAY0037927-ara1	RELEASE	0.31589	[0.31589]
