source	target	lib	tfidfMax	tfidfDistances
0181IbnMubarak.Jihad.JK000549-ara1	0281IbnAbiDunya.Samt.Shamela0013039-ara1	RELEASE	0.90008	[0.90008]
0181IbnMubarak.Jihad.JK000549-ara1	0281IbnAbiDunya.Qanaca.ShamAY0038057-ara1	RELEASE	0.89986	[0.89986]
0181IbnMubarak.Jihad.JK000549-ara1	13039.json	RAWrabicaShamAY2	0.89975	[0.89975]
0181IbnMubarak.Jihad.JK000549-ara1	0281IbnAbiDunya.Samt.ShamAY0038093-ara2	RELEASE	0.89966	[0.89966]
0181IbnMubarak.Jihad.JK000549-ara1	38104.json	RAWrabicaShamAY3	0.89941	[0.89941]
0181IbnMubarak.Jihad.JK000549-ara1	38093.json	RAWrabicaShamAY3	0.89938	[0.89938]
0181IbnMubarak.Jihad.JK000549-ara1	0273IbnMaja.Sunan.Shamela0001198-ara1	RELEASE	0.89903	[0.89903]
0181IbnMubarak.Jihad.JK000549-ara1	13115.json	RAWrabicaShamAY2	0.89833	[0.89833]
0181IbnMubarak.Jihad.JK000549-ara1	38157.json	RAWrabicaShamAY3	0.89824	[0.89824]
0181IbnMubarak.Jihad.JK000549-ara1	12991.bok.json	RAWrabicaSham19Y	0.89769	[0.89769]
0181IbnMubarak.Jihad.JK000549-ara1	0281IbnAbiDunya.Khumul.ShamAY0038157-ara1	RELEASE	0.89761	[0.89761]
0181IbnMubarak.Jihad.JK000549-ara1	12991.json	RAWrabicaShamAY2	0.89718	[0.89718]
0181IbnMubarak.Jihad.JK000549-ara1	33672.json	RAWrabicaShamAY2	0.89704	[0.89704]
0181IbnMubarak.Jihad.JK000549-ara1	13175.bok.json	RAWrabicaSham19Y	0.89697	[0.89697]
0181IbnMubarak.Jihad.JK000549-ara1	931.json	RAW_ABLibrary	0.89695	[0.89695]
0181IbnMubarak.Jihad.JK000549-ara1	13115.bok.json	RAWrabicaSham19Y	0.89674	[0.89674]
0181IbnMubarak.Jihad.JK000549-ara1	0385IbnShahin.NasikhHadithWaMansukhuh.JK000424-ara1	RELEASE	0.89659	[0.89659]
0181IbnMubarak.Jihad.JK000549-ara1	0281IbnAbiDunya.Juc.Shamela0009306-ara1	RELEASE	0.89637	[0.89637]
0181IbnMubarak.Jihad.JK000549-ara1	0427JuriNaysaburi.QawaricQuran.ShamAY0033672-ara1	RELEASE	0.89634	[0.89634]
0181IbnMubarak.Jihad.JK000549-ara1	0307AbuYaclaMawsili.Mucjam.Shamela0013175-ara1	RELEASE	0.8963	[0.8963]
0181IbnMubarak.Jihad.JK000549-ara1	0458Bayhaqi.DalailNubuwwa.Shamela0013115-ara1	RELEASE	0.8963	[0.8963]
0181IbnMubarak.Jihad.JK000549-ara1	13175.json	RAWrabicaShamAY2	0.89592	[0.89592]
0181IbnMubarak.Jihad.JK000549-ara1	0281IbnAbiDunya.IslahMal.JK001040-ara1	RELEASE	0.89576	[0.89576]
0181IbnMubarak.Jihad.JK000549-ara1	12748.json	RAWrabicaShamAY2	0.89576	[0.89576]
0181IbnMubarak.Jihad.JK000549-ara1	0301AbuBakrFaryabi.Qadar.Shamela0013051-ara1	RELEASE	0.89574	[0.89574]
0181IbnMubarak.Jihad.JK000549-ara1	0281IbnAbiDunya.HusnZannBiLlah.Shamela0013113-ara1	RELEASE	0.89573	[0.89573]
0181IbnMubarak.Jihad.JK000549-ara1	Sham30K0002681	RAWrabica005000	0.89554	[0.89554]
0181IbnMubarak.Jihad.JK000549-ara1	0414HilalHaffar.Juz.ShamAY0033576-ara1	RELEASE	0.89553	[0.89553]
0181IbnMubarak.Jihad.JK000549-ara1	0465IbnMuhtadi.Fawaid.ShamAY0032765-ara1	RELEASE	0.89551	[0.89551]
0181IbnMubarak.Jihad.JK000549-ara1	0281IbnAbiDunya.IslahMal.Shamela0013187-ara1	RELEASE	0.89551	[0.89551]
0181IbnMubarak.Jihad.JK000549-ara1	32765.json	RAWrabicaShamAY2	0.89548	[0.89548]
0181IbnMubarak.Jihad.JK000549-ara1	13051.json	RAWrabicaShamAY2	0.89544	[0.89544]
0181IbnMubarak.Jihad.JK000549-ara1	0327AbuBakrKharaiti.FadilatShukr.Shamela0013140-ara1	RELEASE	0.89517	[0.89517]
0181IbnMubarak.Jihad.JK000549-ara1	0463IbnCabdBarr.TamhidMuwatta.Shia002131Vols-ara1	RELEASE	0.89516	[0.89516]
0181IbnMubarak.Jihad.JK000549-ara1	Sham30K0008210	RAWrabica010000	0.89509	[0.89509]
