source	target	lib	tfidfMax	tfidfDistances
0189MuhammadShaybani.Siyar.Shamela0007231-ara1	0189MuhammadShaybani.Siyar.JK000197-ara1	RELEASE	0.9996	[0.9996]
0189MuhammadShaybani.Siyar.Shamela0007231-ara1	7231.json	RAWrabicaShamAY1	0.99944	[0.99944]
0189MuhammadShaybani.Siyar.Shamela0007231-ara1	7231.bok.json	RAWrabicaSham19Y	0.99906	[0.99906]
0189MuhammadShaybani.Siyar.Shamela0007231-ara1	0189MuhammadShaybani.SiyarSaghir.ShamAY0034215-ara1	RELEASE	0.73803	[0.73803, 0.73769]
0189MuhammadShaybani.Siyar.Shamela0007231-ara1	0189MuhammadShaybani.MakharijFiHiyal.Sham19Y0018264-ara1	RELEASE	0.73451	[0.73451, 0.73348]
0189MuhammadShaybani.Siyar.Shamela0007231-ara1	34215.json	RAWrabicaShamAY3	0.72966	[0.72966]
0189MuhammadShaybani.Siyar.Shamela0007231-ara1	0189MuhammadShaybani.Asl.Shamela0006164-ara1	RELEASE	0.72251	[0.72251]
0189MuhammadShaybani.Siyar.Shamela0007231-ara1	0189MuhammadShaybani.Asl.JK000267-ara1	RELEASE	0.72236	[0.72236]
0189MuhammadShaybani.Siyar.Shamela0007231-ara1	6164.json	RAWrabicaShamAY1	0.72054	[0.72054]
0189MuhammadShaybani.Siyar.Shamela0007231-ara1	0182AbuYusufYacqub.Kharaj.ShamAY0034334-ara1	RELEASE	0.70912	[0.70912]
0189MuhammadShaybani.Siyar.Shamela0007231-ara1	0182AbuYusufYacqub.Kharaj.Shamela0026333-ara1	RELEASE	0.70798	[0.70798, 0.70405]
0189MuhammadShaybani.Siyar.Shamela0007231-ara1	Shamela026333.txt	raw_ShamelaY19	0.70572	[0.70572]
0189MuhammadShaybani.Siyar.Shamela0007231-ara1	34334.json	RAWrabicaShamAY3	0.70245	[0.70245]
0189MuhammadShaybani.Siyar.Shamela0007231-ara1	26333.json	RAWrabicaShamAY2	0.70075	[0.70075]
0189MuhammadShaybani.Siyar.Shamela0007231-ara1	0204Shafici.JimacCilm.Shamela0003197-ara1	RELEASE	0.69963	[0.69963, 0.69647]
0189MuhammadShaybani.Siyar.Shamela0007231-ara1	3197.json	RAWrabicaShamAY1	0.69903	[0.69903]
