source	target	lib	tfidfMax	tfidfDistances
0104MujahidIbnJabr.Tafsir.JK000459-ara1	0104MujahidIbnJabr.Tafsir.ShamAY0034071-ara1	RELEASE	0.99945	[0.99945]
0104MujahidIbnJabr.Tafsir.JK000459-ara1	34071.json	RAWrabicaShamAY2	0.99943	[0.99943]
0104MujahidIbnJabr.Tafsir.JK000459-ara1	12810.json	RAWrabicaShamAY2	0.9977	[0.9977]
0104MujahidIbnJabr.Tafsir.JK000459-ara1	0104MujahidIbnJabr.Tafsir.Shamela0012810-ara2	RELEASE	0.99753	[0.99753]
0104MujahidIbnJabr.Tafsir.JK000459-ara1	0104MujahidIbnJabr.Tafsir.Shia002456Vols-ara1	RELEASE	0.99079	[0.99079]
0104MujahidIbnJabr.Tafsir.JK000459-ara1	0104MujahidIbnJabr.Tafsir.Tafsir02078-ara1	RELEASE	0.98342	[0.98342]
0104MujahidIbnJabr.Tafsir.JK000459-ara1	Shia002456Vols	RAWrabica040000	0.95203	[0.95203]
0104MujahidIbnJabr.Tafsir.JK000459-ara1	0347IbnHazlam.Mashyakha.Shamela0029933-ara1	RELEASE	0.73498	[0.73498]
0104MujahidIbnJabr.Tafsir.JK000459-ara1	0343IbnSulaymanAtrabulusi.Hadith.Shamela0029862-ara1	RELEASE	0.73176	[0.73176]
0104MujahidIbnJabr.Tafsir.JK000459-ara1	33707.json	RAWrabicaShamAY2	0.73092	[0.73092]
0104MujahidIbnJabr.Tafsir.JK000459-ara1	0347IbnHazlam.Juz.ShamAY0033707-ara1	RELEASE	0.72847	[0.72847]
0104MujahidIbnJabr.Tafsir.JK000459-ara1	0340IbnAcrabiBasri.Mucjam.JK011633-ara1	RELEASE	0.7246	[0.7246]
0104MujahidIbnJabr.Tafsir.JK000459-ara1	Shamela029933.txt	raw_ShamelaY19	0.72378	[0.72378]
0104MujahidIbnJabr.Tafsir.JK000459-ara1	Shamela029862.txt	raw_ShamelaY19	0.72079	[0.72079]
0104MujahidIbnJabr.Tafsir.JK000459-ara1	29933.json	RAWrabicaShamAY2	0.71827	[0.71827]
0104MujahidIbnJabr.Tafsir.JK000459-ara1	29862.json	RAWrabicaShamAY2	0.7137	[0.7137]
0104MujahidIbnJabr.Tafsir.JK000459-ara1	8215.json	RAWrabicaShamAY1	0.7121	[0.7121]
0104MujahidIbnJabr.Tafsir.JK000459-ara1	915.json	RAWrabicaShamAY1	0.71197	[0.71197]
0104MujahidIbnJabr.Tafsir.JK000459-ara1	0275AbuDawudSijistani.Zuhd.Shamela0008215-ara1	RELEASE	0.71144	[0.71144]
0104MujahidIbnJabr.Tafsir.JK000459-ara1	0275AbuDawudSijistani.Zuhd.JK011358-ara1	RELEASE	0.71	[0.71]
0104MujahidIbnJabr.Tafsir.JK000459-ara1	Shamela021494.txt	raw_ShamelaY19	0.70845	[0.70845]
0104MujahidIbnJabr.Tafsir.JK000459-ara1	0340IbnAcrabiBasri.Mucjam.Shamela0021494-ara1	RELEASE	0.70797	[0.70797]
0104MujahidIbnJabr.Tafsir.JK000459-ara1	Sham30K0008215	RAWrabica010000	0.7073	[0.7073]
0104MujahidIbnJabr.Tafsir.JK000459-ara1	0227IbnMansurKhurasani.TafsirMinSunanSacid.Shamela0013008-ara1	RELEASE	0.70354	[0.70354]
0104MujahidIbnJabr.Tafsir.JK000459-ara1	13008.bok.json	RAWrabicaSham19Y	0.70322	[0.70322]
0104MujahidIbnJabr.Tafsir.JK000459-ara1	0322AbuBakrZubayri.Fawaid.Shamela0030384-ara1	RELEASE	0.70182	[0.70182]
0104MujahidIbnJabr.Tafsir.JK000459-ara1	13008.json	RAWrabicaShamAY2	0.70092	[0.70092]
0104MujahidIbnJabr.Tafsir.JK000459-ara1	Shamela030384.txt	raw_ShamelaY19	0.69735	[0.69735]
0104MujahidIbnJabr.Tafsir.JK000459-ara1	Shamela026426.txt	raw_ShamelaY19	0.69044	[0.69044]
